Date   Alt   Lat   Lon         X         Y         Z         H         F        I       D
        km   deg   deg        nT        nT        nT        nT        nT      deg     deg
2014.1 394 -41.8 -132.0  11188.92   2014.58   2014.58  11368.84  53320.62    -77.7    10.2
2014.1 394 -42.5 -130.5  10204.74   1775.29   1775.29  10358.01  53687.31    -78.9     9.9
2014.1 394 -43.2 -129.0   9189.51   1520.27   1520.27   9314.42  54013.38    -80.1     9.4
2014.1 394 -43.8 -127.5   8144.57   1249.42   1249.42   8239.84  54294.22    -81.3     8.7
2014.1 395 -44.5 -126.0   7071.83    962.91    962.91   7137.08  54525.05    -82.5     7.8
2014.1 395 -45.1 -124.4   5973.88    661.26    661.26   6010.37  54700.98    -83.7     6.3
2014.1 395 -45.8 -122.7   4854.04    345.40    345.40   4866.31  54817.16    -84.9     4.1
2014.1 395 -46.3 -121.1   3716.37     16.65     16.65   3716.40  54868.90    -86.1     0.3
2014.1 396 -46.9 -119.4   2565.70   -323.21   -323.21   2585.97  54851.80    -87.3    -7.2
2014.1 396 -47.4 -117.6   1407.59   -671.93   -671.93   1559.74  54761.97    -88.4   -25.5
2014.1 396 -48.0 -115.9    248.26  -1026.78  -1026.78   1056.37  54596.13    -88.9   -76.4
2014.1 396 -48.4 -114.1   -905.55  -1384.57  -1384.57   1654.41  54351.83    -88.3  -123.2
2014.1 396 -48.9 -112.2  -2046.77  -1741.68  -1741.68   2687.51  54027.56    -87.1  -139.6
2014.1 396 -49.3 -110.4  -3168.21  -2094.05  -2094.05   3797.71  53622.90    -85.9  -146.5
2014.1 396 -49.7 -108.5  -4262.85  -2437.30  -2437.30   4910.43  53138.57    -84.7  -150.2
2014.1 396 -50.1 -106.5  -5324.13  -2766.77  -2766.77   6000.11  52576.43    -83.4  -152.5
2014.1 397 -50.4 -104.6  -6346.21  -3077.65  -3077.65   7053.11  51939.44    -82.2  -154.1
2014.1 397 -50.7 -102.6  -7324.27  -3365.06  -3365.06   8060.31  51231.49    -80.9  -155.3
2014.1 397 -51.0 -100.6  -8254.64  -3624.24  -3624.24   9015.22  50457.18    -79.7  -156.3
2014.1 397 -51.2 -98.6  -9134.91  -3850.62  -3850.62   9913.32  49621.55    -78.5  -157.1
2014.1 397 -51.4 -96.5  -9963.84  -4040.06  -4040.06  10751.75  48729.76    -77.3  -157.9
2014.1 397 -51.5 -94.4 -10741.16  -4188.93  -4188.93  11529.07  47786.82    -76.0  -158.7
2014.1 397 -51.7 -92.4 -11467.25  -4294.28  -4294.28  12244.94  46797.29    -74.8  -159.5
2014.1 397 -51.7 -90.3 -12142.74  -4353.93  -4353.93  12899.72  45765.19    -73.6  -160.3
2014.1 397 -51.8 -88.2  12768.04   4366.58   4366.58  13494.06  44693.95    -72.4    18.9
2014.1 397 -51.8 -86.1  13342.95   4331.83   4331.83  14028.50  43586.58    -71.2    18.0
2014.1 396 -51.8 -84.0  13866.40   4250.18   4250.18  14503.14  42445.88    -70.0    17.0
2014.1 396 -51.7 -81.9  14336.37   4123.05   4123.05  14917.47  41274.86    -68.8    16.0
2014.1 396 -51.6 -79.8  14749.99   3952.62   3952.62  15270.41  40077.06    -67.6    15.0
2014.1 396 -51.5 -77.8  15103.87   3741.81   3741.81  15560.47  38856.99    -66.4    13.9
2014.1 396 -51.3 -75.7  15394.63   3494.12   3494.12  15786.18  37620.35    -65.2    12.8
2014.1 396 -51.1 -73.7  15619.40   3213.50   3213.50  15946.54  36374.15    -64.0    11.6
2014.1 396 -50.8 -71.7  15776.46   2904.22   2904.22  16041.55  35126.72    -62.8    10.4
2014.1 395 -50.6 -69.7  15865.66   2570.73   2570.73  16072.58  33887.46    -61.7     9.2
2014.1 395 -50.2 -67.7  15888.74   2217.54   2217.54  16042.74  32666.53    -60.6     7.9
2014.1 395 -49.9 -65.7  15849.44   1849.08   1849.08  15956.94  31474.40    -59.5     6.7
2014.1 395 -49.5 -63.8  15753.39   1469.66   1469.66  15821.80  30321.38    -58.5     5.3
2014.1 395 -49.1 -61.9  15607.83   1083.35   1083.35  15645.38  29217.18    -57.6     4.0
2014.1 394 -48.7 -60.1  15421.17    693.93    693.93  15436.78  28170.42    -56.8     2.6
2014.1 394 -48.2 -58.3  15202.53    304.84    304.84  15205.58  27188.35    -56.0     1.1
2014.1 394 -47.7 -56.5  14961.18    -80.81    -80.81  14961.40  26276.58    -55.3    -0.3
2014.1 393 -47.2 -54.7  14706.14   -460.32   -460.32  14713.34  25438.98    -54.7    -1.8
2014.1 393 -46.6 -53.0  14445.77   -831.34   -831.34  14469.67  24677.62    -54.1    -3.3
2014.1 393 -46.0 -51.3  14187.45  -1191.88  -1191.88  14237.43  23992.86    -53.6    -4.8
2014.1 392 -45.4 -49.7  13937.46  -1540.35  -1540.35  14022.32  23383.51    -53.2    -6.3
2014.1 392 -44.8 -48.1  13700.85  -1875.44  -1875.44  13828.61  22847.06    -52.8    -7.8
2014.1 392 -44.2 -46.5  13481.49  -2196.20  -2196.20  13659.21  22379.93    -52.4    -9.3
2014.1 391 -43.5 -45.0  13282.13  -2501.93  -2501.93  13515.72  21977.73    -52.1   -10.7
2014.1 391 -42.8 -43.4  13104.51  -2792.22  -2792.22  13398.68  21635.57    -51.7   -12.0
2014.1 391 -42.1 -42.0  12949.52  -3066.85  -3066.85  13307.73  21348.31    -51.4   -13.3
2014.1 390 -41.4 -40.5  12817.37  -3325.82  -3325.82  13241.83  21110.76    -51.2   -14.5
2014.1 390 -40.6 -39.1  12707.77  -3569.28  -3569.28  13199.52  20917.89    -50.9   -15.7
2014.1 389 -39.9 -37.7  12620.03  -3797.50  -3797.50  13179.01  20764.97    -50.6   -16.7
2014.1 389 -39.1 -36.4  12553.26  -4010.84  -4010.84  13178.43  20647.65    -50.3   -17.7
2014.1 389 -38.3 -35.1  12506.43  -4209.72  -4209.72  13195.93  20562.04    -50.1   -18.6
2014.1 388 -37.5 -33.8  12478.54  -4394.57  -4394.57  13229.74  20504.73    -49.8   -19.4
2014.1 388 -36.7 -32.5  12468.62  -4565.82  -4565.82  13278.30  20472.80    -49.6   -20.1
2014.1 387 -35.8 -31.3  12475.87  -4723.88  -4723.88  13340.26  20463.75    -49.3   -20.7
2014.1 387 -35.0 -30.1  12499.66  -4869.08  -4869.08  13414.52  20475.54    -49.1   -21.3
2014.1 386 -34.1 -28.9  12539.54  -5001.70  -5001.70  13500.27  20506.44    -48.8   -21.7
2014.1 386 -33.2 -27.7  12595.32  -5121.92  -5121.92  13596.92  20555.07    -48.6   -22.1
2014.1 386 -32.4 -26.6  12667.00  -5229.84  -5229.84  13704.16  20620.26    -48.3   -22.4
2014.1 385 -31.5 -25.5  12754.78  -5325.46  -5325.46  13821.91  20701.04    -48.1   -22.7
2014.1 385 -30.6 -24.4  12859.09  -5408.71  -5408.71  13950.28  20796.57    -47.9   -22.8
2014.1 384 -29.7 -23.3  12980.48  -5479.42  -5479.42  14089.60  20906.06    -47.6   -22.9
2014.1 384 -28.7 -22.2  13119.63  -5537.37  -5537.37  14240.34  21028.77    -47.4   -22.9
2014.1 383 -27.8 -21.2  13277.33  -5582.30  -5582.30  14403.11  21163.93    -47.1   -22.8
2014.1 383 -26.9 -20.2  13454.38  -5613.92  -5613.92  14578.63  21310.75    -46.8   -22.6
2014.1 382 -25.9 -19.2  13651.59  -5631.91  -5631.91  14767.68  21468.36    -46.5   -22.4
