Date   Alt   Lat   Lon         X         Y         Z         H         F        I       D
        km   deg   deg        nT        nT        nT        nT        nT      deg     deg
2013.9 406   4.4   8.3  26375.84  -1201.93  -1201.93  26403.21  26593.70     -6.9    -2.6
2013.9 406   3.4   9.0  26498.49  -1260.35  -1260.35  26528.45  26634.52     -5.1    -2.7
2013.9 406   2.4   9.7  26603.95  -1320.46  -1320.46  26636.70  26682.76     -3.4    -2.8
2013.9 407   1.4  10.5  26692.59  -1382.62  -1382.62  26728.37  26739.04     -1.6    -3.0
2013.9 407   0.3  11.2  26764.78  -1447.20  -1447.20  26803.88  26803.95      0.1    -3.1
2013.9 407  -0.7  11.9  26820.90  -1514.57  -1514.57  26863.63  26878.05      1.9    -3.2
2013.9 407  -1.7  12.6  26861.27  -1585.08  -1585.08  26907.99  26961.88      3.6    -3.4
2013.9 407  -2.7  13.3  26886.18  -1659.00  -1659.00  26937.32  27055.95      5.4    -3.5
2013.9 408  -3.7  14.1  26895.89  -1736.58  -1736.58  26951.89  27160.78      7.1    -3.7
2013.9 408  -4.8  14.8  26890.59  -1817.93  -1817.93  26951.97  27276.86      8.9    -3.9
2013.9 408  -5.8  15.5  26870.40  -1903.10  -1903.10  26937.71  27404.67     10.6    -4.1
2013.9 409  -6.8  16.2  26835.43  -1992.03  -1992.03  26909.26  27544.68     12.3    -4.2
2013.9 409  -7.8  17.0  26785.68  -2084.53  -2084.53  26866.67  27697.36     14.1    -4.4
2013.9 409  -8.8  17.7  26721.14  -2180.34  -2180.34  26809.95  27863.14     15.8    -4.7
2013.9 409  -9.8  18.5  26641.75  -2279.07  -2279.07  26739.05  28042.44     17.5    -4.9
2013.9 410 -10.9  19.2  26547.42  -2380.25  -2380.25  26653.91  28235.64     19.3    -5.1
2013.9 410 -11.9  19.9  26438.04  -2483.32  -2483.32  26554.42  28443.11     21.0    -5.4
2013.9 410 -12.9  20.7  26313.51  -2587.69  -2587.69  26440.44  28665.14     22.7    -5.6
2013.9 411 -13.9  21.5  26173.73  -2692.68  -2692.68  26311.87  28902.00     24.4    -5.9
2013.9 411 -14.9  22.2  26018.60  -2797.62  -2797.62  26168.57  29153.89     26.2    -6.1
2013.9 411 -15.9  23.0  25848.08  -2901.83  -2901.83  26010.46  29420.95     27.9    -6.4
2013.9 412 -16.9  23.8  25662.16  -3004.64  -3004.64  25837.46  29703.26     29.6    -6.7
2013.9 412 -17.8  24.6  25460.88  -3105.42  -3105.42  25649.56  30000.83     31.2    -7.0
2013.9 413 -18.8  25.4  25244.31  -3203.59  -3203.59  25446.77  30313.61     32.9    -7.2
2013.9 413 -19.8  26.2  25012.58  -3298.64  -3298.64  25229.15  30641.49     34.6    -7.5
2013.9 413 -20.8  27.1  24765.88  -3390.14  -3390.14  24996.84  30984.30     36.2    -7.8
2013.9 414 -21.8  27.9  24504.42  -3477.75  -3477.75  24749.97  31341.82     37.8    -8.1
2013.9 414 -22.7  28.7  24228.44  -3561.22  -3561.22  24488.76  31713.76     39.4    -8.4
2013.9 415 -23.7  29.6  23938.21  -3640.39  -3640.39  24213.43  32099.81     41.0    -8.6
2013.9 415 -24.6  30.5  23633.98  -3715.18  -3715.18  23924.20  32499.61     42.6    -8.9
2013.9 415 -25.6  31.4  23316.01  -3785.60  -3785.60  23621.32  32912.78     44.1    -9.2
2013.9 416 -26.5  32.3  22984.50  -3851.75  -3851.75  23305.00  33338.89     45.7    -9.5
2013.9 416 -27.5  33.2  22639.61  -3913.74  -3913.74  22975.40  33777.46     47.1    -9.8
2013.9 417 -28.4  34.1  22281.42  -3971.77  -3971.77  22632.65  34228.00     48.6   -10.1
2013.9 417 -29.3  35.1  21909.94  -4026.03  -4026.03  22276.77  34689.97     50.0   -10.4
2013.9 418 -30.2  36.1  21525.06  -4076.73  -4076.73  21907.71  35162.74     51.5   -10.7
2013.9 418 -31.1  37.1  21126.56  -4124.05  -4124.05  21525.32  35645.66     52.9   -11.0
2013.9 418 -32.0  38.1  20714.12  -4168.15  -4168.15  21129.32  36137.95     54.2   -11.4
2013.9 419 -32.9  39.1  20287.29  -4209.14  -4209.14  20719.34  36638.74     55.6   -11.7
2013.9 419 -33.7  40.2  19845.51  -4247.05  -4247.05  20294.87  37147.04     56.9   -12.1
2013.9 420 -34.6  41.3  19388.12  -4281.86  -4281.86  19855.31  37661.70     58.2   -12.5
2013.9 420 -35.4  42.4  18914.40  -4313.41  -4313.41  19400.00  38181.41     59.5   -12.8
2013.9 420 -36.3  43.5  18423.55  -4341.50  -4341.50  18928.18  38704.66     60.7   -13.3
2013.9 421 -37.1  44.7  17914.80  -4365.80  -4365.80  18439.09  39229.75     62.0   -13.7
2013.9 421 -37.9  45.9  17387.36  -4385.89  -4385.89  17931.99  39754.73     63.2   -14.2
2013.9 422 -38.7  47.1  16840.55  -4401.26  -4401.26  17406.18  40277.45     64.4   -14.6
2013.9 422 -39.5  48.3  16273.83  -4411.30  -4411.30  16861.11  40795.50     65.6   -15.2
2013.9 422 -40.3  49.6  15686.86  -4415.37  -4415.37  16296.41  41306.28     66.8   -15.7
2013.9 423 -41.0  50.9  15079.55  -4412.72  -4412.72  15711.93  41806.97     67.9   -16.3
2013.9 423 -41.7  52.2  14452.17  -4402.62  -4402.62  15107.89  42294.58     69.1   -16.9
2013.9 423 -42.4  53.6  13805.41  -4384.27  -4384.27  14484.86  42766.04     70.2   -17.6
2013.9 424 -43.1  55.0  13140.40  -4356.92  -4356.92  13843.88  43218.21     71.3   -18.3
2013.9 424 -43.8  56.4  12458.83  -4319.82  -4319.82  13186.49  43647.99     72.4   -19.1
2013.9 424 -44.5  57.9  11762.95  -4272.28  -4272.28  12514.77  44052.45     73.5   -20.0
2013.9 425 -45.1  59.4  11055.60  -4213.67  -4213.67  11831.37  44428.92     74.6   -20.9
2013.9 425 -45.7  60.9  10340.18  -4143.46  -4143.46  11139.46  44775.17     75.6   -21.8
2013.9 425 -46.3  62.5   9620.66  -4061.19  -4061.19  10442.72  45089.54     76.6   -22.9
2013.9 426 -46.9  64.1   8901.43  -3966.54  -3966.54   9745.20  45371.10     77.6   -24.0
2013.9 426 -47.4  65.7   8187.16  -3859.28  -3859.28   9051.17  45619.82     78.6   -25.2
2013.9 426 -47.9  67.4   7482.64  -3739.29  -3739.29   8364.94  45836.69     79.5   -26.6
2013.9 426 -48.4  69.1   6792.51  -3606.54  -3606.54   7690.60  46023.81     80.4   -28.0
2013.9 426 -48.8  70.8   6120.94  -3461.09  -3461.09   7031.72  46184.45     81.2   -29.5
2013.9 427 -49.3  72.6   5471.38  -3303.05  -3303.05   6391.10  46322.98     82.1   -31.1
2013.9 427 -49.7  74.4   4846.15  -3132.59  -3132.59   5770.47  46444.78     82.9   -32.9
2013.9 427 -50.0  76.2   4246.21  -2949.87  -2949.87   5170.31  46555.99     83.6   -34.8
2013.9 427 -50.4  78.1   3670.87  -2755.09  -2755.09   4589.75  46663.19     84.4   -36.9
2013.9 427 -50.7  80.0   3117.65  -2548.43  -2548.43   4026.69  46772.97     85.1   -39.3
2013.9 427 -50.9  81.9   2582.24  -2330.08  -2330.08   3478.11  46891.49     85.7   -42.1
2013.9 428 -51.2  83.8   2058.63  -2100.29  -2100.29   2940.95  47023.95     86.4   -45.6
2013.9 428 -51.4  85.7   1539.32  -1859.35  -1859.35   2413.85  47174.10     87.1   -50.4
2013.9 428 -51.5  87.7   1015.76  -1607.70  -1607.70   1901.70  47343.89     87.7   -57.7
2013.9 428 -51.6  89.7    478.80  -1345.97  -1345.97   1428.59  47533.19     88.3   -70.4
2013.9 428 -51.7  91.7     80.70   1075.03   1075.03   1078.05  47739.62     88.7    85.7
2013.9 428 -51.8  93.7    671.31    796.06    796.06   1041.33  47958.69     88.8    49.9
2013.9 428 -51.8  95.7   1300.49    510.60    510.60   1397.13  48183.96     88.3    21.4
2013.9 428 -51.8  97.6   1974.07    220.53    220.53   1986.35  48407.46     87.6     6.4
2013.9 428 -51.7  99.6   2695.99    -71.94    -71.94   2696.95  48620.15     86.8    -1.5
2013.9 428 -51.6 101.6   3467.99   -364.29   -364.29   3487.07  48812.45     85.9    -6.0
2013.9 428 -51.5 103.6   4289.66   -653.82   -653.82   4339.20  48974.79     84.9    -8.7
2013.9 428 -51.3 105.6   5158.49   -937.69   -937.69   5243.02  49098.13     83.9   -10.3
2013.9 428 -51.1 107.5   6070.06  -1213.07  -1213.07   6190.09  49174.34     82.8   -11.3
2013.9 428 -50.9 109.4   7018.45  -1477.23  -1477.23   7172.23  49196.61     81.6   -11.9
2013.9 427 -50.6 111.3   7996.50  -1727.63  -1727.63   8181.00  49159.61     80.4   -12.2
2013.9 427 -50.3 113.2   8996.32  -1962.00  -1962.00   9207.78  49059.68     79.2   -12.3
2013.9 427 -50.0 115.1  10009.62  -2178.41  -2178.41  10243.92  48894.76     77.9   -12.3
2013.9 427 -49.6 116.9  11028.07  -2375.27  -2375.27  11280.97  48664.43     76.6   -12.2
2013.9 427 -49.2 118.7  12043.65  -2551.36  -2551.36  12310.93  48369.66     75.3   -12.0
2013.9 427 -48.8 120.5  13048.85  -2705.79  -2705.79  13326.43  48012.72     73.9   -11.7
2013.9 426 -48.3 122.2  14036.86  -2837.99  -2837.99  14320.88  47596.92     72.5   -11.4
2013.9 426 -47.8 123.9  15001.65  -2947.66  -2947.66  15288.50  47126.38     71.1   -11.1
2013.9 426 -47.3 125.6  15938.05  -3034.75  -3034.75  16224.40  46605.88     69.6   -10.8
2013.9 426 -46.8 127.2  16841.71  -3099.38  -3099.38  17124.53  46040.58     68.2   -10.4
2013.9 426 -46.2 128.8  17709.09  -3141.82  -3141.82  17985.63  45435.92     66.7   -10.1
2013.9 425 -45.6 130.4  18537.40  -3162.48  -3162.48  18805.22  44797.43     65.2    -9.7
2013.9 425 -45.0 131.9  19324.49  -3161.88  -3161.88  19581.46  44130.66     63.7    -9.3
2013.9 425 -44.4 133.4  20068.86  -3140.59  -3140.59  20313.11  43441.05     62.1    -8.9
2013.9 424 -43.7 134.8  20769.52  -3099.28  -3099.28  20999.48  42733.88     60.6    -8.5
2013.9 424 -43.1 136.3  21425.94  -3038.67  -3038.67  21640.34  42014.22     59.0    -8.1
2013.9 424 -42.4 137.6  22038.04  -2959.56  -2959.56  22235.88  41286.90     57.4    -7.6
2013.9 423 -41.6 139.0  22606.10  -2862.79  -2862.79  22786.65  40556.50     55.8    -7.2
2013.9 423 -40.9 140.3  23130.72  -2749.28  -2749.28  23293.53  39827.27     54.2    -6.8
2013.9 423 -40.2 141.6  23612.81  -2619.98  -2619.98  23757.72  39103.20     52.6    -6.3
2013.9 422 -39.4 142.9  24053.56  -2475.92  -2475.92  24180.65  38387.96     51.0    -5.9
2013.9 422 -38.6 144.1  24454.37  -2318.16  -2318.16  24564.00  37684.91     49.3    -5.4
2013.9 422 -37.8 145.3  24816.87  -2147.82  -2147.82  24909.64  36997.08     47.7    -4.9
2013.9 421 -37.0 146.5  25142.88  -1966.05  -1966.05  25219.63  36327.19     46.0    -4.5
2013.9 421 -36.2 147.7  25434.34  -1774.02  -1774.02  25496.13  35677.64     44.4    -4.0
2013.9 421 -35.3 148.8  25693.33  -1572.91  -1572.91  25741.43  35050.52     42.7    -3.5
2013.9 420 -34.5 149.9  25922.03  -1363.92  -1363.92  25957.88  34447.59     41.1    -3.0
2013.9 420 -33.6 151.0  26122.66  -1148.25  -1148.25  26147.88  33870.33     39.5    -2.5
2013.9 419 -32.8 152.1  26297.50   -927.05   -927.05  26313.84  33319.90     37.8    -2.0
2013.9 419 -31.9 153.1  26448.81   -701.49   -701.49  26458.12  32797.20     36.2    -1.5
2013.9 419 -31.0 154.1  26578.86   -472.67   -472.67  26583.06  32302.86     34.6    -1.0
2013.9 418 -30.1 155.1  26689.84   -241.66   -241.66  26690.93  31837.26     33.0    -0.5
2013.9 418 -29.2 156.1  26783.90     -9.47     -9.47  26783.90  31400.56     31.5    -0.0
2013.9 417 -28.3 157.0  26863.10    222.91    222.91  26864.02  30992.69     29.9     0.5
2013.9 417 -27.3 158.0  26929.40    454.59    454.59  26933.23  30613.43     28.4     1.0
2013.9 417 -26.4 158.9  26984.65    684.71    684.71  26993.34  30262.36     26.9     1.5
2013.9 416 -25.5 159.8  27030.59    912.48    912.48  27045.98  29938.92     25.4     1.9
2013.9 416 -24.5 160.7  27068.81   1137.14   1137.14  27092.68  29642.43     23.9     2.4
2013.9 415 -23.6 161.6  27100.77   1358.02   1358.02  27134.78  29372.11     22.5     2.9
2013.9 415 -22.6 162.4  27127.82   1574.48   1574.48  27173.47  29127.08     21.1     3.3
2013.9 415 -21.6 163.3  27151.13   1785.94   1785.94  27209.81  28906.37     19.7     3.8
2013.9 414 -20.7 164.1  27171.78   1991.84   1991.84  27244.68  28708.98     18.4     4.2
2013.9 414 -19.7 164.9  27190.66   2191.69   2191.69  27278.85  28533.85     17.1     4.6
2013.9 413 -18.7 165.7  27208.58   2385.04   2385.04  27312.92  28379.88     15.8     5.0
2013.9 413 -17.7 166.5  27226.19   2571.46   2571.46  27347.36  28245.97     14.5     5.4
2013.9 413 -16.7 167.3  27244.02   2750.58   2750.58  27382.52  28130.99     13.2     5.8
2013.9 412 -15.7 168.1  27262.48   2922.08   2922.08  27418.63  28033.83     12.0     6.1
2013.9 412 -14.8 168.9  27281.85   3085.65   3085.65  27455.80  27953.37     10.8     6.5
2013.9 412 -13.8 169.7  27302.33   3241.06   3241.06  27494.03  27888.52      9.6     6.8
2013.9 411 -12.8 170.4  27323.97   3388.12   3388.12  27533.23  27838.20      8.5     7.1
2013.9 411 -11.7 171.2  27346.75   3526.71   3526.71  27573.22  27801.39      7.3     7.3
2013.9 411 -10.7 171.9  27370.54   3656.76   3656.76  27613.73  27777.09      6.2     7.6
2013.9 410  -9.7 172.7  27395.11   3778.26   3778.26  27654.42  27764.36      5.1     7.9
2013.9 410  -8.7 173.4  27420.14   3891.29   3891.29  27694.88  27762.30      4.0     8.1
2013.9 410  -7.7 174.2  27445.26   3996.00   3996.00  27734.65  27770.07      2.9     8.3
2013.9 409  -6.7 174.9  27470.00   4092.60   4092.60  27773.20  27786.91      1.8     8.5
2013.9 409  -5.7 175.6  27493.83   4181.40   4181.40  27809.98  27812.11      0.7     8.6
2013.9 409  -4.6 176.4  27516.16   4262.77   4262.77  27844.40  27845.01     -0.4     8.8
2013.9 409  -3.6 177.1  27536.36   4337.16   4337.16  27875.84  27885.06     -1.5     9.0
2013.9 408  -2.6 177.8  27553.76   4405.08   4405.08  27903.66  27931.74     -2.6     9.1
2013.9 408  -1.6 178.5  27567.64   4467.11   4467.11  27927.23  27984.61     -3.7     9.2
2013.9 408  -0.6 179.2  27577.30   4523.88   4523.88  27945.89  28043.30     -4.8     9.3
2013.9 408   0.5 180.0  27582.00   4576.06   4576.06  27959.03  28107.49     -5.9     9.4
2013.9 407   1.5 -179.3  27581.02   4624.34   4624.34  27966.00  28176.91     -7.0     9.5
2013.9 407   2.5 -178.6  27573.65   4669.44   4669.44  27966.22  28251.36     -8.1     9.6
2013.9 407   3.5 -177.9  27559.19   4712.09   4712.09  27959.13  28330.68     -9.3     9.7
2013.9 407   4.5 -177.2  27537.00   4752.98   4752.98  27944.18  28414.72    -10.4     9.8
2013.9 407   5.6 -176.4  27506.47   4792.82   4792.82  27920.91  28503.40    -11.6     9.9
2013.9 407   6.6 -175.7  27467.04   4832.24   4832.24  27888.87  28596.66    -12.8    10.0
2013.9 406   7.6 -175.0  27418.21   4871.87   4871.87  27847.69  28694.45    -14.0    10.1
2013.9 406   8.6 -174.2  27359.55   4912.26   4912.26  27797.04  28796.74    -15.1    10.2
2013.9 406   9.6 -173.5  27290.68   4953.89   4953.89  27736.66  28903.53    -16.3    10.3
2013.9 406  10.6 -172.8  27211.32   4997.18   4997.18  27666.36  29014.81    -17.5    10.4
2013.9 406  11.7 -172.0  27121.24   5042.48   5042.48  27586.01  29130.60    -18.7    10.5
2013.9 406  12.7 -171.2  27020.29   5090.07   5090.07  27495.54  29250.92    -20.0    10.7
2013.9 406  13.7 -170.5  26908.40   5140.13   5140.13  27394.94  29375.81    -21.2    10.8
2013.9 406  14.7 -169.7  26785.56   5192.79   5192.79  27284.27  29505.31    -22.4    11.0
2013.9 406  15.7 -168.9  26651.83   5248.12   5248.12  27163.63  29639.50    -23.6    11.1
2013.9 406  16.7 -168.1  26507.33   5306.09   5306.09  27033.18  29778.45    -24.8    11.3
2013.9 406  17.7 -167.3  26352.23   5366.64   5366.64  26893.14  29922.27    -26.0    11.5
2013.9 406  18.6 -166.5  26186.76   5429.67   5429.67  26743.74  30071.11    -27.2    11.7
2013.9 406  19.6 -165.7  26011.17   5495.02   5495.02  26585.26  30225.12    -28.4    11.9
2013.9 406  20.6 -164.9  25825.76   5562.51   5562.51  26418.01  30384.51    -29.6    12.2
2013.9 406  21.6 -164.1  25630.84   5631.94   5631.94  26242.30  30549.54    -30.8    12.4
2013.9 406  22.5 -163.2  25426.73   5703.11   5703.11  26058.47  30720.48    -32.0    12.6
2013.9 406  23.5 -162.3  25213.77   5775.81   5775.81  25866.85  30897.67    -33.2    12.9
2013.9 406  24.5 -161.5  24992.27   5849.85   5849.85  25667.76  31081.49    -34.3    13.2
2013.9 406  25.4 -160.6  24762.52   5925.05   5925.05  25461.52  31272.35    -35.5    13.5
2013.9 406  26.4 -159.7  24524.81   6001.27   6001.27  25248.40  31470.73    -36.7    13.8
